job_id,@model,@weather,@type,@north,@ch,@floor,@wwr_KL_B,@ach,@tmin,@tmax,@fabric,@glazing,BD1_HA26c_occ,BD1_TM52_C1,BD1_HA26p_occ,@job_s,@wwr_KL,@wwr_B
EP_CP_P1201_000000126,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,70_70,4,22,24,v1,v1,1003.75,0.112,0.115,00126,70,70
EP_CP_P1201_000000127,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,70_70,8,22,24,v1,v1,632.75,0.04,0.072,00127,70,70
EP_CP_P1201_000000128,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,70_60,1,22,24,v1,v1,2709.0,0.589,0.309,00128,70,60
EP_CP_P1201_000000129,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,70_60,2,22,24,v1,v1,1728.0,0.236,0.197,00129,70,60
EP_CP_P1201_000000130,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,70_60,4,22,24,v1,v1,910.75,0.085,0.104,00130,70,60
EP_CP_P1201_000000131,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,70_60,8,22,24,v1,v1,557.0,0.028,0.064,00131,70,60
EP_CP_P1201_000000132,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,70_50,1,22,24,v1,v1,2644.0,0.554,0.302,00132,70,50
EP_CP_P1201_000000133,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,70_50,2,22,24,v1,v1,1594.0,0.192,0.182,00133,70,50
EP_CP_P1201_000000134,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,70_50,4,22,24,v1,v1,814.75,0.055,0.093,00134,70,50
EP_CP_P1201_000000135,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,70_50,8,22,24,v1,v1,492.75,0.02,0.056,00135,70,50
EP_CP_P1201_000000136,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,70_40,1,22,24,v1,v1,2542.0,0.512,0.29,00136,70,40
EP_CP_P1201_000000137,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,70_40,2,22,24,v1,v1,1445.0,0.145,0.165,00137,70,40
EP_CP_P1201_000000138,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,70_40,4,22,24,v1,v1,708.5,0.032,0.081,00138,70,40
EP_CP_P1201_000000139,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,70_40,8,22,24,v1,v1,424.25,0.012,0.048,00139,70,40
EP_CP_P1201_000000140,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,60_60,1,22,24,v1,v1,2700.5,0.585,0.308,00140,60,60
EP_CP_P1201_000000141,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,60_60,2,22,24,v1,v1,1716.5,0.233,0.196,00141,60,60
EP_CP_P1201_000000142,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,60_60,4,22,24,v1,v1,904.0,0.083,0.103,00142,60,60
EP_CP_P1201_000000143,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,60_60,8,22,24,v1,v1,553.5,0.028,0.063,00143,60,60
EP_CP_P1201_000000144,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,60_50,1,22,24,v1,v1,2634.25,0.548,0.301,00144,60,50
EP_CP_P1201_000000145,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,60_50,2,22,24,v1,v1,1579.5,0.188,0.18,00145,60,50
EP_CP_P1201_000000146,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,60_50,4,22,24,v1,v1,808.5,0.054,0.092,00146,60,50
EP_CP_P1201_000000147,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,60_50,8,22,24,v1,v1,490.25,0.019,0.056,00147,60,50
EP_CP_P1201_000000148,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,60_40,1,22,24,v1,v1,2527.5,0.505,0.289,00148,60,40
EP_CP_P1201_000000149,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,60_40,2,22,24,v1,v1,1431.25,0.143,0.163,00149,60,40
EP_CP_P1201_000000150,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,60_40,4,22,24,v1,v1,701.5,0.031,0.08,00150,60,40
EP_CP_P1201_000000151,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,60_40,8,22,24,v1,v1,422.0,0.012,0.048,00151,60,40
EP_CP_P1201_000000152,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,50_50,1,22,24,v1,v1,2625.25,0.543,0.3,00152,50,50
