job_id,@job_s,@model,@weather,@north,@floor,@ach,@wwr_KL,@wwr_B,BD1_HA26p_occ
EP_CP_P1201_000000202,00202,CP_P1201,GTW_DSY1,0.0,Top_Floor,4,80,40,0.136
EP_CP_P1201_000000203,00203,CP_P1201,GTW_DSY1,0.0,Top_Floor,8,80,40,0.092
EP_CP_P1201_000000204,00204,CP_P1201,GTW_DSY1,0.0,Top_Floor,1,70,70,0.307
EP_CP_P1201_000000205,00205,CP_P1201,GTW_DSY1,0.0,Top_Floor,2,70,70,0.238
EP_CP_P1201_000000206,00206,CP_P1201,GTW_DSY1,0.0,Top_Floor,4,70,70,0.159
EP_CP_P1201_000000207,00207,CP_P1201,GTW_DSY1,0.0,Top_Floor,8,70,70,0.114
EP_CP_P1201_000000208,00208,CP_P1201,GTW_DSY1,0.0,Top_Floor,1,70,60,0.304
EP_CP_P1201_000000209,00209,CP_P1201,GTW_DSY1,0.0,Top_Floor,2,70,60,0.232
EP_CP_P1201_000000210,00210,CP_P1201,GTW_DSY1,0.0,Top_Floor,4,70,60,0.151
EP_CP_P1201_000000211,00211,CP_P1201,GTW_DSY1,0.0,Top_Floor,8,70,60,0.107
EP_CP_P1201_000000212,00212,CP_P1201,GTW_DSY1,0.0,Top_Floor,1,70,50,0.301
EP_CP_P1201_000000213,00213,CP_P1201,GTW_DSY1,0.0,Top_Floor,2,70,50,0.227
EP_CP_P1201_000000214,00214,CP_P1201,GTW_DSY1,0.0,Top_Floor,4,70,50,0.144
EP_CP_P1201_000000215,00215,CP_P1201,GTW_DSY1,0.0,Top_Floor,8,70,50,0.1
EP_CP_P1201_000000216,00216,CP_P1201,GTW_DSY1,0.0,Top_Floor,1,70,40,0.297
EP_CP_P1201_000000217,00217,CP_P1201,GTW_DSY1,0.0,Top_Floor,2,70,40,0.22
EP_CP_P1201_000000218,00218,CP_P1201,GTW_DSY1,0.0,Top_Floor,4,70,40,0.136
EP_CP_P1201_000000219,00219,CP_P1201,GTW_DSY1,0.0,Top_Floor,8,70,40,0.092
EP_CP_P1201_000000220,00220,CP_P1201,GTW_DSY1,0.0,Top_Floor,1,60,60,0.304
EP_CP_P1201_000000221,00221,CP_P1201,GTW_DSY1,0.0,Top_Floor,2,60,60,0.232
EP_CP_P1201_000000222,00222,CP_P1201,GTW_DSY1,0.0,Top_Floor,4,60,60,0.15
EP_CP_P1201_000000223,00223,CP_P1201,GTW_DSY1,0.0,Top_Floor,8,60,60,0.106
EP_CP_P1201_000000224,00224,CP_P1201,GTW_DSY1,0.0,Top_Floor,1,60,50,0.301
EP_CP_P1201_000000225,00225,CP_P1201,GTW_DSY1,0.0,Top_Floor,2,60,50,0.227
EP_CP_P1201_000000226,00226,CP_P1201,GTW_DSY1,0.0,Top_Floor,4,60,50,0.143
EP_CP_P1201_000000227,00227,CP_P1201,GTW_DSY1,0.0,Top_Floor,8,60,50,0.099
EP_CP_P1201_000000228,00228,CP_P1201,GTW_DSY1,0.0,Top_Floor,1,60,40,0.297
EP_CP_P1201_000000229,00229,CP_P1201,GTW_DSY1,0.0,Top_Floor,2,60,40,0.22
EP_CP_P1201_000000230,00230,CP_P1201,GTW_DSY1,0.0,Top_Floor,4,60,40,0.136
